iter	Passed	Remaining
0	3	318
1	6	308
2	9	296
3	11	274
4	14	273
5	17	270
6	20	273
7	23	270
8	26	266
9	29	262
10	31	258
11	34	249
12	35	240
13	37	233
14	39	223
15	40	214
16	42	206
17	43	199
18	45	192
19	46	184
20	47	178
21	48	172
22	49	167
23	51	161
24	51	155
25	52	150
26	53	145
27	54	140
28	55	136
29	56	132
30	57	128
31	58	124
32	59	120
33	60	116
34	60	112
35	61	109
36	62	106
37	63	103
38	64	100
39	64	97
40	65	94
41	65	90
42	66	88
43	67	85
44	67	82
45	68	80
46	69	78
47	69	75
48	70	73
49	71	71
50	71	68
51	72	66
52	73	64
53	73	62
54	74	60
55	74	58
56	75	56
57	76	55
58	76	53
59	77	51
60	77	49
61	78	48
62	79	46
63	80	45
64	80	43
65	81	41
66	82	40
67	82	38
68	83	37
69	84	36
70	84	34
71	85	33
72	85	31
73	86	30
74	86	28
75	87	27
76	88	26
77	88	25
78	89	23
79	89	22
80	90	21
81	90	19
82	91	18
83	92	17
84	92	16
85	93	15
86	93	14
87	94	12
88	94	11
89	95	10
90	95	9
91	96	8
92	97	7
93	97	6
94	98	5
95	98	4
96	99	3
97	99	2
98	100	1
99	100	0
